component_name,correlation_r,abs_correlation,p_value
ecs_specific_layer_per_head_layer_4_head_0,0.08904,0.08904,0.17841
cas_vs_final_layer_per_head_layer_17_head_10,0.08895,0.08895,0.17883
x_input_norm_per_layer_layer_19,0.08891,0.08891,0.17902
x_post_ffn_norm_per_layer_layer_18,0.08891,0.08891,0.17902
ecs_specific_layer_per_head_layer_16_head_18,-0.08890,0.08890,0.17907
ecs_specific_layer_per_head_layer_15_head_5,-0.08885,0.08885,0.17932
ecs_specific_layer_per_head_layer_14_head_17,0.08885,0.08885,0.17934
cas_vs_final_layer_per_head_layer_8_head_8,0.08879,0.08879,0.17963
ecs_specific_layer_per_head_layer_14_head_7,0.08868,0.08868,0.18015
bos_attention_proportion_per_head_layer_7_head_11,0.08864,0.08864,0.18038
ecs_prompt_specific_layer_per_head_layer_13_head_2,0.08862,0.08862,0.18045
bos_attention_proportion_per_head_layer_1_head_1,-0.08857,0.08857,0.18070
ecs_specific_layer_per_head_layer_23_head_23,-0.08856,0.08856,0.18078
cas_vs_current_layer_per_head_layer_17_head_15,-0.08854,0.08854,0.18085
cas_vs_current_layer_per_head_layer_10_head_22,0.08851,0.08851,0.18101
cas_alt_vs_current_layer_per_head_layer_19_head_18,0.08850,0.08850,0.18108
cas_vs_current_layer_per_head_layer_24_head_16,-0.08846,0.08846,0.18124
cas_vs_current_layer_per_head_layer_8_head_0,0.08846,0.08846,0.18127
bos_attention_proportion_per_head_layer_12_head_18,-0.08842,0.08842,0.18146
attention_entropy_per_head_layer_13_head_19,-0.08840,0.08840,0.18158
bos_attention_proportion_per_head_layer_27_head_8,-0.08837,0.08837,0.18173
bos_attention_proportion_per_head_layer_17_head_2,-0.08826,0.08826,0.18227
attention_entropy_per_head_layer_27_head_4,-0.08826,0.08826,0.18228
cas_alt_vs_current_layer_per_head_layer_15_head_20,0.08821,0.08821,0.18251
ecs_specific_layer_per_head_layer_25_head_15,-0.08821,0.08821,0.18252
ecs_prompt_specific_layer_per_head_layer_18_head_23,-0.08805,0.08805,0.18331
ecs_specific_layer_per_head_layer_19_head_23,-0.08803,0.08803,0.18339
bos_attention_proportion_per_head_layer_8_head_2,-0.08798,0.08798,0.18367
cas_alt_vs_current_layer_per_head_layer_17_head_18,0.08795,0.08795,0.18381
cas_alt_vs_final_layer_per_head_layer_2_head_17,-0.08793,0.08793,0.18389
bos_attention_proportion_per_head_layer_16_head_5,0.08791,0.08791,0.18398
ecs_specific_layer_per_head_layer_19_head_14,-0.08790,0.08790,0.18408
bos_attention_proportion_per_head_layer_13_head_21,0.08778,0.08778,0.18468
cas_vs_current_layer_per_head_layer_25_head_3,-0.08776,0.08776,0.18473
attention_entropy_per_head_layer_4_head_15,0.08771,0.08771,0.18500
cas_vs_current_layer_per_head_layer_23_head_16,-0.08748,0.08748,0.18618
cas_vs_current_layer_per_head_layer_3_head_22,-0.08746,0.08746,0.18625
attention_entropy_per_head_layer_27_head_20,-0.08736,0.08736,0.18675
cas_alt_vs_final_layer_per_head_layer_0_head_1,-0.08731,0.08731,0.18705
bos_attention_proportion_per_head_layer_17_head_17,0.08726,0.08726,0.18729
bos_attention_proportion_per_head_layer_19_head_4,-0.08722,0.08722,0.18747
ecs_prompt_specific_layer_per_head_layer_19_head_10,-0.08717,0.08717,0.18773
cas_vs_current_layer_per_head_layer_0_head_5,-0.08715,0.08715,0.18782
cas_vs_current_layer_per_head_layer_23_head_17,-0.08712,0.08712,0.18798
cas_vs_current_layer_per_head_layer_12_head_6,0.08693,0.08693,0.18894
cas_vs_current_layer_per_head_layer_23_head_19,-0.08693,0.08693,0.18898
ecs_specific_layer_per_head_layer_15_head_13,-0.08692,0.08692,0.18899
ecs_specific_layer_per_head_layer_17_head_18,-0.08690,0.08690,0.18912
cas_vs_current_layer_per_head_layer_16_head_18,-0.08688,0.08688,0.18923
cas_vs_final_layer_per_head_layer_11_head_10,-0.08687,0.08687,0.18925
cas_vs_current_layer_per_head_layer_1_head_14,-0.08678,0.08678,0.18974
cas_vs_current_layer_per_head_layer_7_head_16,0.08673,0.08673,0.19001
ecs_specific_layer_per_head_layer_18_head_20,-0.08672,0.08672,0.19002
attention_entropy_per_head_layer_9_head_19,-0.08671,0.08671,0.19007
x_post_ffn_norm_per_layer_layer_4,0.08670,0.08670,0.19012
x_input_norm_per_layer_layer_5,0.08670,0.08670,0.19012
bos_attention_proportion_per_head_layer_21_head_14,-0.08661,0.08661,0.19060
ecs_prompt_specific_layer_per_head_layer_17_head_8,-0.08658,0.08658,0.19078
cas_vs_current_layer_per_head_layer_0_head_22,-0.08656,0.08656,0.19085
ecs_prompt_specific_layer_per_head_layer_7_head_19,0.08652,0.08652,0.19105
ecs_specific_layer_per_head_layer_23_head_6,-0.08639,0.08639,0.19171
cas_vs_current_layer_per_head_layer_17_head_16,-0.08632,0.08632,0.19208
ecs_prompt_specific_layer_per_head_layer_10_head_17,0.08628,0.08628,0.19228
bos_attention_proportion_per_head_layer_21_head_2,0.08625,0.08625,0.19243
x_pre_ffn_norm_per_layer_layer_4,0.08621,0.08621,0.19264
ecs_specific_layer_per_head_layer_12_head_19,-0.08619,0.08619,0.19278
bos_attention_proportion_per_head_layer_5_head_9,0.08606,0.08606,0.19342
bos_attention_proportion_per_head_layer_27_head_23,0.08604,0.08604,0.19355
cas_vs_current_layer_per_head_layer_0_head_23,-0.08603,0.08603,0.19359
v_ffn_norm_per_layer_layer_5,-0.08601,0.08601,0.19369
bos_attention_proportion_per_head_layer_25_head_11,0.08596,0.08596,0.19395
bos_attention_proportion_per_head_layer_13_head_2,0.08593,0.08593,0.19414
cas_vs_final_layer_per_head_layer_2_head_14,0.08592,0.08592,0.19419
ecs_prompt_specific_layer_per_head_layer_17_head_17,-0.08581,0.08581,0.19473
ecs_prompt_specific_layer_per_head_layer_22_head_18,-0.08575,0.08575,0.19506
bos_attention_proportion_per_head_layer_13_head_1,-0.08572,0.08572,0.19521
ecs_prompt_specific_layer_per_head_layer_18_head_20,-0.08572,0.08572,0.19523
cas_vs_current_layer_per_head_layer_6_head_0,-0.08568,0.08568,0.19540
attention_entropy_per_head_layer_15_head_5,-0.08563,0.08563,0.19570
cas_vs_final_layer_per_head_layer_24_head_19,0.08560,0.08560,0.19585
bos_attention_proportion_per_head_layer_15_head_9,0.08555,0.08555,0.19609
cas_vs_current_layer_per_head_layer_23_head_18,-0.08553,0.08553,0.19619
ecs_prompt_specific_layer_per_head_layer_23_head_21,-0.08547,0.08547,0.19651
cas_vs_final_layer_per_head_layer_24_head_18,0.08544,0.08544,0.19667
ecs_prompt_specific_layer_per_head_layer_12_head_7,0.08543,0.08543,0.19676
ecs_prompt_specific_layer_per_head_layer_10_head_7,0.08541,0.08541,0.19683
cos_sim_input_post_ffn_per_layer_layer_3,-0.08540,0.08540,0.19687
cas_vs_current_layer_per_head_layer_23_head_21,-0.08536,0.08536,0.19710
cos_sim_pre_post_ffn_per_layer_layer_18,0.08536,0.08536,0.19712
cas_vs_current_layer_per_head_layer_25_head_18,-0.08529,0.08529,0.19748
cas_alt_vs_current_layer_per_head_layer_6_head_14,0.08528,0.08528,0.19750
cos_sim_pre_post_ffn_per_layer_layer_6,0.08524,0.08524,0.19771
ecs_specific_layer_per_head_layer_4_head_9,0.08523,0.08523,0.19779
cas_vs_final_layer_per_head_layer_7_head_10,0.08519,0.08519,0.19798
bos_attention_proportion_per_head_layer_13_head_4,0.08516,0.08516,0.19816
x_pre_ffn_norm_per_layer_layer_3,0.08515,0.08515,0.19820
ecs_specific_layer_per_head_layer_5_head_10,0.08514,0.08514,0.19828
ecs_prompt_specific_layer_per_head_layer_4_head_4,0.08510,0.08510,0.19849
cas_vs_final_layer_per_head_layer_10_head_10,-0.08508,0.08508,0.19860
ecs_specific_layer_per_head_layer_14_head_10,0.08501,0.08501,0.19897
bos_attention_proportion_per_head_layer_15_head_12,0.08497,0.08497,0.19918
cas_alt_vs_final_layer_per_head_layer_13_head_9,-0.08494,0.08494,0.19930
cas_vs_final_layer_per_head_layer_8_head_18,-0.08493,0.08493,0.19936
ecs_specific_layer_per_head_layer_14_head_5,0.08473,0.08473,0.20044
bos_attention_proportion_per_head_layer_24_head_6,-0.08469,0.08469,0.20064
ecs_prompt_specific_layer_per_head_layer_9_head_11,0.08460,0.08460,0.20112
ecs_prompt_specific_layer_per_head_layer_10_head_1,0.08459,0.08459,0.20119
cas_vs_final_layer_per_head_layer_16_head_3,0.08458,0.08458,0.20122
ecs_specific_layer_per_head_layer_15_head_19,-0.08458,0.08458,0.20122
bos_attention_proportion_per_head_layer_18_head_9,0.08452,0.08452,0.20155
x_input_norm_per_layer_layer_12,0.08434,0.08434,0.20253
x_post_ffn_norm_per_layer_layer_11,0.08434,0.08434,0.20253
ecs_specific_layer_per_head_layer_11_head_21,0.08429,0.08429,0.20278
cas_vs_final_layer_per_head_layer_13_head_3,-0.08427,0.08427,0.20288
ecs_prompt_specific_layer_per_head_layer_8_head_8,0.08427,0.08427,0.20289
cas_alt_vs_current_layer_per_head_layer_4_head_14,0.08426,0.08426,0.20294
attention_entropy_per_head_layer_25_head_3,-0.08425,0.08425,0.20299
ecs_specific_layer_per_head_layer_23_head_19,-0.08421,0.08421,0.20323
attention_entropy_per_head_layer_8_head_21,-0.08420,0.08420,0.20328
cas_vs_final_layer_per_head_layer_6_head_2,0.08419,0.08419,0.20333
bos_attention_proportion_per_head_layer_1_head_4,-0.08418,0.08418,0.20340
bos_attention_proportion_per_head_layer_23_head_0,-0.08417,0.08417,0.20346
cas_vs_current_layer_per_head_layer_7_head_1,-0.08416,0.08416,0.20350
ecs_specific_layer_per_head_layer_19_head_10,-0.08414,0.08414,0.20359
bos_attention_proportion_per_head_layer_21_head_22,0.08412,0.08412,0.20369
cas_vs_final_layer_per_head_layer_10_head_6,-0.08412,0.08412,0.20373
cas_vs_final_layer_per_head_layer_22_head_20,0.08410,0.08410,0.20382
ecs_specific_layer_per_head_layer_24_head_16,-0.08406,0.08406,0.20405
cas_alt_vs_current_layer_per_head_layer_8_head_1,0.08405,0.08405,0.20407
ecs_prompt_specific_layer_per_head_layer_22_head_22,-0.08397,0.08397,0.20453
cas_vs_final_layer_per_head_layer_14_head_5,-0.08397,0.08397,0.20455
ecs_specific_layer_per_head_layer_23_head_15,-0.08393,0.08393,0.20473
ecs_prompt_specific_layer_per_head_layer_7_head_3,0.08389,0.08389,0.20496
v_attn_norm_per_layer_layer_6,0.08387,0.08387,0.20509
cas_alt_vs_current_layer_per_head_layer_19_head_5,0.08385,0.08385,0.20518
ecs_specific_layer_per_head_layer_18_head_15,-0.08382,0.08382,0.20535
cas_vs_current_layer_per_head_layer_19_head_22,-0.08381,0.08381,0.20537
attention_entropy_per_head_layer_0_head_17,-0.08377,0.08377,0.20558
ecs_prompt_specific_layer_per_head_layer_23_head_7,-0.08376,0.08376,0.20569
cas_alt_vs_current_layer_per_head_layer_24_head_9,-0.08374,0.08374,0.20577
bos_attention_proportion_per_head_layer_7_head_1,0.08373,0.08373,0.20584
ecs_specific_layer_per_head_layer_18_head_2,-0.08368,0.08368,0.20611
cas_alt_vs_current_layer_per_head_layer_17_head_9,0.08368,0.08368,0.20611
cas_alt_vs_current_layer_per_head_layer_19_head_19,0.08362,0.08362,0.20641
bos_attention_proportion_per_head_layer_17_head_7,0.08342,0.08342,0.20754
ecs_prompt_specific_layer_per_head_layer_7_head_6,0.08341,0.08341,0.20756
ecs_specific_layer_per_head_layer_19_head_7,-0.08313,0.08313,0.20911
ecs_prompt_specific_layer_per_head_layer_17_head_15,-0.08306,0.08306,0.20949
bos_attention_proportion_per_head_layer_21_head_20,-0.08303,0.08303,0.20964
bos_attention_proportion_per_head_layer_27_head_17,-0.08301,0.08301,0.20975
ecs_prompt_specific_layer_per_head_layer_12_head_10,0.08299,0.08299,0.20986
ecs_specific_layer_per_head_layer_15_head_0,-0.08297,0.08297,0.21000
ecs_specific_layer_per_head_layer_14_head_15,0.08297,0.08297,0.21000
cas_vs_current_layer_per_head_layer_26_head_11,-0.08294,0.08294,0.21014
ecs_specific_layer_per_head_layer_24_head_4,-0.08291,0.08291,0.21031
bos_attention_proportion_per_head_layer_2_head_0,0.08288,0.08288,0.21048
ecs_specific_layer_per_head_layer_13_head_18,0.08278,0.08278,0.21102
cos_sim_input_pre_ffn_per_layer_layer_14,0.08231,0.08231,0.21364
cas_vs_final_layer_per_head_layer_12_head_5,-0.08222,0.08222,0.21415
bos_attention_proportion_per_head_layer_19_head_22,-0.08216,0.08216,0.21447
ecs_specific_layer_per_head_layer_11_head_18,0.08216,0.08216,0.21448
cas_vs_final_layer_per_head_layer_23_head_22,0.08216,0.08216,0.21450
ecs_specific_layer_per_head_layer_9_head_12,-0.08194,0.08194,0.21571
ecs_specific_layer_per_head_layer_18_head_1,-0.08193,0.08193,0.21575
cas_vs_final_layer_per_head_layer_25_head_6,0.08169,0.08169,0.21711
cas_vs_final_layer_per_head_layer_14_head_15,-0.08166,0.08166,0.21730
ecs_prompt_specific_layer_per_head_layer_3_head_5,0.08160,0.08160,0.21764
ecs_specific_layer_per_head_layer_9_head_10,-0.08159,0.08159,0.21768
ecs_prompt_specific_layer_per_head_layer_10_head_9,0.08144,0.08144,0.21854
cas_vs_current_layer_per_head_layer_25_head_16,-0.08137,0.08137,0.21894
cas_vs_final_layer_per_head_layer_6_head_4,0.08133,0.08133,0.21917
bos_attention_proportion_per_head_layer_27_head_2,0.08133,0.08133,0.21919
ecs_specific_layer_per_head_layer_23_head_18,-0.08132,0.08132,0.21923
cas_alt_vs_current_layer_per_head_layer_25_head_12,-0.08132,0.08132,0.21924
ecs_prompt_specific_layer_per_head_layer_19_head_22,-0.08131,0.08131,0.21928
cas_vs_final_layer_per_head_layer_2_head_0,0.08128,0.08128,0.21945
bos_attention_proportion_per_head_layer_16_head_11,0.08121,0.08121,0.21985
attention_entropy_per_head_layer_6_head_16,0.08119,0.08119,0.21994
cas_vs_final_layer_per_head_layer_24_head_13,0.08109,0.08109,0.22052
cas_vs_current_layer_per_head_layer_8_head_9,0.08101,0.08101,0.22099
ecs_specific_layer_per_head_layer_23_head_8,-0.08100,0.08100,0.22103
ecs_prompt_specific_layer_per_head_layer_19_head_0,-0.08100,0.08100,0.22106
cas_vs_current_layer_per_head_layer_7_head_8,0.08096,0.08096,0.22129
cas_vs_current_layer_per_head_layer_15_head_2,0.08096,0.08096,0.22131
bos_attention_proportion_per_head_layer_14_head_2,-0.08082,0.08082,0.22206
attention_entropy_per_head_layer_18_head_11,-0.08080,0.08080,0.22217
cas_vs_current_layer_per_head_layer_0_head_1,-0.08076,0.08076,0.22241
ecs_prompt_specific_layer_per_head_layer_19_head_20,-0.08062,0.08062,0.22325
cas_vs_final_layer_per_head_layer_23_head_11,0.08059,0.08059,0.22338
ecs_prompt_specific_layer_per_head_layer_19_head_15,-0.08051,0.08051,0.22387
ecs_specific_layer_per_head_layer_6_head_1,0.08050,0.08050,0.22391
cas_alt_vs_current_layer_per_head_layer_19_head_11,0.08043,0.08043,0.22434
cas_vs_current_layer_per_head_layer_24_head_14,-0.08036,0.08036,0.22473
bos_attention_proportion_per_head_layer_13_head_6,0.08034,0.08034,0.22485
cos_sim_pre_post_ffn_per_layer_layer_9,0.08032,0.08032,0.22494
cas_alt_vs_current_layer_per_head_layer_16_head_20,0.08023,0.08023,0.22549
ecs_specific_layer_per_head_layer_6_head_18,0.08022,0.08022,0.22552
ecs_prompt_specific_layer_per_head_layer_8_head_18,0.08008,0.08008,0.22635
ecs_specific_layer_per_head_layer_13_head_13,-0.08006,0.08006,0.22647
cas_vs_current_layer_per_head_layer_9_head_21,-0.08002,0.08002,0.22669
ecs_specific_layer_per_head_layer_10_head_19,0.07994,0.07994,0.22715
cas_vs_final_layer_per_head_layer_9_head_18,-0.07994,0.07994,0.22718
bos_attention_proportion_per_head_layer_13_head_13,-0.07992,0.07992,0.22732
ecs_specific_layer_per_head_layer_17_head_5,-0.07989,0.07989,0.22748
ecs_prompt_specific_layer_per_head_layer_4_head_1,0.07982,0.07982,0.22788
cas_vs_current_layer_per_head_layer_13_head_18,0.07975,0.07975,0.22827
cas_alt_vs_current_layer_per_head_layer_16_head_4,0.07965,0.07965,0.22888
ecs_specific_layer_per_head_layer_23_head_16,-0.07962,0.07962,0.22906
ecs_prompt_specific_layer_per_head_layer_13_head_9,0.07958,0.07958,0.22927
ecs_prompt_specific_layer_per_head_layer_20_head_6,-0.07957,0.07957,0.22935
cas_vs_current_layer_per_head_layer_17_head_12,-0.07956,0.07956,0.22941
ecs_prompt_specific_layer_per_head_layer_14_head_2,0.07946,0.07946,0.23001
cas_alt_vs_final_layer_per_head_layer_5_head_16,-0.07931,0.07931,0.23085
ecs_prompt_specific_layer_per_head_layer_20_head_8,-0.07929,0.07929,0.23097
ecs_prompt_specific_layer_per_head_layer_23_head_20,-0.07928,0.07928,0.23105
cas_vs_current_layer_per_head_layer_11_head_3,0.07926,0.07926,0.23117
cas_alt_vs_current_layer_per_head_layer_16_head_19,0.07923,0.07923,0.23132
ecs_prompt_specific_layer_per_head_layer_4_head_11,0.07920,0.07920,0.23150
ecs_prompt_specific_layer_per_head_layer_6_head_22,0.07919,0.07919,0.23160
cas_alt_vs_current_layer_per_head_layer_15_head_18,0.07910,0.07910,0.23211
ecs_prompt_specific_layer_per_head_layer_2_head_23,0.07907,0.07907,0.23228
attention_entropy_per_head_layer_14_head_14,-0.07900,0.07900,0.23268
cas_vs_current_layer_per_head_layer_19_head_0,-0.07897,0.07897,0.23288
cas_vs_final_layer_per_head_layer_14_head_13,-0.07895,0.07895,0.23300
cas_vs_current_layer_per_head_layer_9_head_2,0.07882,0.07882,0.23378
ecs_specific_layer_per_head_layer_23_head_20,-0.07877,0.07877,0.23409
bos_attention_proportion_per_head_layer_10_head_6,-0.07873,0.07873,0.23430
ecs_specific_layer_per_head_layer_20_head_7,-0.07873,0.07873,0.23432
cas_vs_final_layer_per_head_layer_12_head_6,0.07869,0.07869,0.23452
bos_attention_proportion_per_head_layer_26_head_19,0.07868,0.07868,0.23458
ecs_specific_layer_per_head_layer_17_head_17,-0.07863,0.07863,0.23490
cas_vs_final_layer_per_head_layer_6_head_15,0.07854,0.07854,0.23542
cas_vs_current_layer_per_head_layer_13_head_20,0.07854,0.07854,0.23544
ecs_prompt_specific_layer_per_head_layer_12_head_9,0.07848,0.07848,0.23583
cas_alt_vs_current_layer_per_head_layer_5_head_6,0.07840,0.07840,0.23626
cas_alt_vs_current_layer_per_head_layer_19_head_9,0.07836,0.07836,0.23650
cas_alt_vs_current_layer_per_head_layer_19_head_22,0.07833,0.07833,0.23670
cas_vs_final_layer_per_head_layer_25_head_23,0.07827,0.07827,0.23709
ecs_specific_layer_per_head_layer_22_head_17,-0.07823,0.07823,0.23729
cas_alt_vs_current_layer_per_head_layer_25_head_7,-0.07806,0.07806,0.23833
ecs_specific_layer_per_head_layer_11_head_11,0.07803,0.07803,0.23853
ecs_prompt_specific_layer_per_head_layer_21_head_1,-0.07790,0.07790,0.23931
bos_attention_proportion_per_head_layer_2_head_15,-0.07783,0.07783,0.23974
cas_vs_current_layer_per_head_layer_16_head_5,-0.07780,0.07780,0.23989
ecs_specific_layer_per_head_layer_8_head_2,0.07774,0.07774,0.24027
ecs_specific_layer_per_head_layer_13_head_1,0.07770,0.07770,0.24048
cas_vs_current_layer_per_head_layer_2_head_21,-0.07770,0.07770,0.24050
bos_attention_proportion_per_head_layer_22_head_22,-0.07764,0.07764,0.24088
ecs_specific_layer_per_head_layer_3_head_5,-0.07754,0.07754,0.24145
ecs_specific_layer_per_head_layer_6_head_13,0.07750,0.07750,0.24171
cas_alt_vs_current_layer_per_head_layer_20_head_11,0.07743,0.07743,0.24215
ecs_prompt_specific_layer_per_head_layer_9_head_23,-0.07739,0.07739,0.24237
cas_alt_vs_current_layer_per_head_layer_6_head_3,0.07739,0.07739,0.24239
ecs_prompt_specific_layer_per_head_layer_15_head_20,-0.07739,0.07739,0.24241
ecs_specific_layer_per_head_layer_14_head_14,0.07735,0.07735,0.24264
attention_entropy_per_head_layer_10_head_21,-0.07731,0.07731,0.24285
cas_vs_final_layer_per_head_layer_2_head_4,0.07731,0.07731,0.24286
ecs_prompt_specific_layer_per_head_layer_18_head_10,-0.07731,0.07731,0.24287
ecs_prompt_specific_layer_per_head_layer_19_head_18,-0.07730,0.07730,0.24294
cas_vs_current_layer_per_head_layer_10_head_1,0.07721,0.07721,0.24347
ecs_prompt_specific_layer_per_head_layer_2_head_20,0.07716,0.07716,0.24381
cas_vs_final_layer_per_head_layer_21_head_22,-0.07707,0.07707,0.24434
ecs_prompt_specific_layer_per_head_layer_9_head_15,0.07704,0.07704,0.24454
bos_attention_proportion_per_head_layer_15_head_0,0.07703,0.07703,0.24461
cas_alt_vs_current_layer_per_head_layer_6_head_13,0.07684,0.07684,0.24578
cas_vs_final_layer_per_head_layer_24_head_9,0.07679,0.07679,0.24604
cas_vs_final_layer_per_head_layer_23_head_16,0.07677,0.07677,0.24616
cas_alt_vs_current_layer_per_head_layer_20_head_23,0.07673,0.07673,0.24647
cas_vs_final_layer_per_head_layer_24_head_20,0.07669,0.07669,0.24667
attention_entropy_per_head_layer_26_head_3,-0.07665,0.07665,0.24693
cas_vs_current_layer_per_head_layer_20_head_15,-0.07650,0.07650,0.24784
bos_attention_proportion_per_head_layer_1_head_17,-0.07648,0.07648,0.24798
ecs_prompt_specific_layer_per_head_layer_2_head_12,0.07644,0.07644,0.24826
cas_vs_final_layer_per_head_layer_5_head_1,0.07639,0.07639,0.24852
bos_attention_proportion_per_head_layer_0_head_20,-0.07632,0.07632,0.24899
cas_alt_vs_current_layer_per_head_layer_5_head_17,0.07630,0.07630,0.24908
v_ffn_norm_per_layer_layer_3,0.07630,0.07630,0.24913
cas_vs_final_layer_per_head_layer_22_head_19,0.07629,0.07629,0.24918
attention_entropy_per_head_layer_20_head_5,0.07617,0.07617,0.24993
bos_attention_proportion_per_head_layer_7_head_23,-0.07614,0.07614,0.25013
ecs_specific_layer_per_head_layer_19_head_13,-0.07612,0.07612,0.25024
cas_alt_vs_current_layer_per_head_layer_0_head_7,-0.07611,0.07611,0.25031
cas_vs_current_layer_per_head_layer_8_head_18,-0.07609,0.07609,0.25039
ecs_prompt_specific_layer_per_head_layer_17_head_20,-0.07605,0.07605,0.25066
ecs_prompt_specific_layer_per_head_layer_22_head_8,-0.07600,0.07600,0.25095
attention_entropy_per_head_layer_13_head_16,-0.07600,0.07600,0.25101
bos_attention_proportion_per_head_layer_4_head_21,-0.07599,0.07599,0.25105
pos_score_per_layer_layer_24,0.07597,0.07597,0.25116
cas_vs_final_layer_per_head_layer_26_head_3,0.07595,0.07595,0.25130
cas_vs_current_layer_per_head_layer_3_head_3,-0.07594,0.07594,0.25137
ecs_prompt_specific_layer_per_head_layer_22_head_1,-0.07588,0.07588,0.25171
cas_vs_final_layer_per_head_layer_1_head_12,0.07586,0.07586,0.25184
ecs_specific_layer_per_head_layer_20_head_8,-0.07578,0.07578,0.25238
ecs_prompt_specific_layer_per_head_layer_19_head_16,-0.07574,0.07574,0.25261
bos_attention_proportion_per_head_layer_14_head_22,-0.07564,0.07564,0.25322
cas_vs_final_layer_per_head_layer_4_head_15,0.07563,0.07563,0.25329
cas_alt_vs_final_layer_per_head_layer_2_head_16,-0.07561,0.07561,0.25345
ecs_specific_layer_per_head_layer_15_head_2,-0.07560,0.07560,0.25347
ecs_prompt_specific_layer_per_head_layer_6_head_11,0.07560,0.07560,0.25351
ecs_prompt_specific_layer_per_head_layer_22_head_13,-0.07541,0.07541,0.25468
attention_entropy_per_head_layer_21_head_3,-0.07539,0.07539,0.25478
ecs_specific_layer_per_head_layer_11_head_5,0.07537,0.07537,0.25493
attention_entropy_per_head_layer_11_head_15,-0.07535,0.07535,0.25504
parameter_knowledge_difference_layer_9,-0.07534,0.07534,0.25512
ecs_prompt_specific_layer_per_head_layer_11_head_9,0.07525,0.07525,0.25570
cas_vs_final_layer_per_head_layer_25_head_20,0.07521,0.07521,0.25594
cas_alt_vs_current_layer_per_head_layer_5_head_20,0.07519,0.07519,0.25606
cas_vs_current_layer_per_head_layer_13_head_23,0.07516,0.07516,0.25625
cas_vs_final_layer_per_head_layer_5_head_11,0.07510,0.07510,0.25666
ecs_prompt_specific_layer_per_head_layer_12_head_4,0.07504,0.07504,0.25701
ecs_specific_layer_per_head_layer_14_head_3,0.07491,0.07491,0.25784
cas_vs_final_layer_per_head_layer_10_head_14,-0.07487,0.07487,0.25810
cas_vs_current_layer_per_head_layer_13_head_21,0.07485,0.07485,0.25823
cas_vs_current_layer_per_head_layer_8_head_16,0.07482,0.07482,0.25841
cas_vs_current_layer_per_head_layer_18_head_20,-0.07482,0.07482,0.25842
cas_alt_vs_current_layer_per_head_layer_20_head_5,0.07481,0.07481,0.25847
cas_vs_current_layer_per_head_layer_8_head_13,0.07481,0.07481,0.25852
cas_vs_final_layer_per_head_layer_21_head_11,-0.07480,0.07480,0.25856
cas_vs_final_layer_per_head_layer_10_head_17,-0.07479,0.07479,0.25865
cas_vs_current_layer_per_head_layer_22_head_14,-0.07476,0.07476,0.25881
cas_vs_current_layer_per_head_layer_3_head_20,-0.07473,0.07473,0.25899
cas_vs_final_layer_per_head_layer_6_head_16,0.07472,0.07472,0.25906
cas_vs_final_layer_per_head_layer_24_head_14,0.07466,0.07466,0.25945
attention_entropy_per_head_layer_17_head_0,-0.07465,0.07465,0.25954
cas_vs_final_layer_per_head_layer_12_head_19,-0.07461,0.07461,0.25979
attention_entropy_per_head_layer_17_head_1,-0.07460,0.07460,0.25981
v_attn_norm_per_layer_layer_17,-0.07457,0.07457,0.26005
cas_alt_vs_current_layer_per_head_layer_4_head_9,0.07449,0.07449,0.26052
cas_vs_current_layer_per_head_layer_11_head_18,0.07442,0.07442,0.26100
ecs_prompt_specific_layer_per_head_layer_17_head_18,-0.07439,0.07439,0.26118
cas_vs_final_layer_per_head_layer_23_head_20,0.07438,0.07438,0.26125
ecs_specific_layer_per_head_layer_17_head_4,-0.07436,0.07436,0.26139
cas_vs_current_layer_per_head_layer_19_head_6,-0.07414,0.07414,0.26279
cas_vs_final_layer_per_head_layer_2_head_22,0.07406,0.07406,0.26332
ecs_prompt_specific_layer_per_head_layer_13_head_4,0.07404,0.07404,0.26343
x_pre_ffn_norm_per_layer_layer_27,-0.07404,0.07404,0.26345
ecs_prompt_specific_layer_per_head_layer_18_head_22,-0.07400,0.07400,0.26372
bos_attention_proportion_per_head_layer_11_head_19,-0.07395,0.07395,0.26405
bos_attention_proportion_per_head_layer_11_head_3,0.07392,0.07392,0.26423
pos_cos_similarity_per_layer_layer_24,0.07391,0.07391,0.26426
cas_vs_current_layer_per_head_layer_8_head_14,-0.07383,0.07383,0.26480
cas_vs_current_layer_per_head_layer_6_head_5,-0.07382,0.07382,0.26487
cas_vs_final_layer_per_head_layer_14_head_6,-0.07380,0.07380,0.26499
ecs_specific_layer_per_head_layer_15_head_11,-0.07374,0.07374,0.26542
cas_vs_current_layer_per_head_layer_6_head_1,0.07369,0.07369,0.26574
cas_vs_final_layer_per_head_layer_17_head_8,0.07355,0.07355,0.26660
cas_vs_current_layer_per_head_layer_3_head_13,-0.07353,0.07353,0.26677
bos_attention_proportion_per_head_layer_7_head_7,0.07349,0.07349,0.26704
ecs_prompt_specific_layer_per_head_layer_20_head_15,-0.07347,0.07347,0.26717
ecs_prompt_specific_layer_per_head_layer_19_head_11,-0.07344,0.07344,0.26737
ecs_prompt_specific_layer_per_head_layer_11_head_10,0.07340,0.07340,0.26760
cas_vs_current_layer_per_head_layer_23_head_15,-0.07340,0.07340,0.26761
ecs_specific_layer_per_head_layer_14_head_18,0.07331,0.07331,0.26822
